batch_number,num_reviews_in_batch,latency_secs,ttft_secs,input_text_tokens,total_cache_read_tokens,cache_creation_tokens,total_prompt_tokens,reasoning_tokens,output_text_tokens,total_completion_tokens,cache_read_cost,uncached_input_cost,total_cost,total_prompt_cost,total_completion_cost,num_positive
1,2,1.660893201828003,1.5604560375213623,385,0,0,385,0,37,37,0.0,0.0,0.0003035,0.0001925,0.000111,0
2,2,1.1493430137634277,1.0293569564819336,417,0,0,417,0,41,41,0.0,0.0,0.0003315,0.0002085,0.000123,1
3,2,3.2414562702178955,3.143195867538452,370,0,0,370,0,36,36,0.0,0.0,0.000293,0.000185,0.000108,1
4,2,1.1200032234191895,1.0184409618377686,395,0,0,395,0,37,37,0.0,0.0,0.0003085,0.0001975,0.000111,1
5,2,1.2182190418243408,1.1278998851776123,401,0,0,401,0,37,37,0.0,0.0,0.0003115,0.0002005,0.000111,2
6,2,1.1000800132751465,1.020618200302124,396,0,0,396,0,37,37,0.0,0.0,0.000309,0.000198,0.000111,1
7,2,1.248960018157959,1.2477140426635742,355,0,0,355,0,36,36,0.0,0.0,0.0002855,0.0001775,0.000108,0
8,2,1.067011833190918,0.972398042678833,348,0,0,348,0,36,36,0.0,0.0,0.000282,0.000174,0.000108,1
9,2,1.0771701335906982,1.0519061088562012,390,0,0,390,0,37,37,0.0,0.0,0.000306,0.000195,0.000111,2
10,2,1.0750341415405273,1.002943992614746,387,0,0,387,0,37,37,0.0,0.0,0.0003045,0.0001935,0.000111,2
11,2,1.1513757705688477,1.0536017417907715,402,0,0,402,0,37,37,0.0,0.0,0.000312,0.000201,0.000111,2
12,2,1.1497650146484375,1.1183087825775146,406,0,0,406,0,37,37,0.0,0.0,0.000314,0.000203,0.000111,2
13,2,1.2811059951782227,1.1969311237335205,404,0,0,404,0,39,39,0.0,0.0,0.000319,0.000202,0.000117,1
14,2,11.081730842590332,11.05572509765625,259,0,0,259,0,36,36,0.0,0.0,0.0002375,0.0001295,0.000108,0
15,2,1.0595903396606445,0.9620752334594727,378,0,0,378,0,37,37,0.0,0.0,0.0003,0.000189,0.000111,0
16,2,1.2080581188201904,1.1536970138549805,382,0,0,382,0,37,37,0.0,0.0,0.000302,0.000191,0.000111,1
17,2,3.618974208831787,3.501607894897461,393,0,0,393,0,37,37,0.0,0.0,0.0003075,0.0001965,0.000111,1
18,2,1.3054490089416504,1.2096889019012451,430,0,0,430,0,37,37,0.0,0.0,0.000326,0.000215,0.000111,1
19,2,1.3243119716644287,1.2496230602264404,381,0,0,381,0,37,37,0.0,0.0,0.0003015,0.0001905,0.000111,1
20,2,1.1630089282989502,1.0662250518798828,379,0,0,379,0,37,37,0.0,0.0,0.0003005,0.0001895,0.000111,1
21,2,5.3873937129974365,5.291154861450195,417,0,0,417,0,37,37,0.0,0.0,0.0003195,0.0002085,0.000111,2
22,2,1.1660988330841064,1.0604569911956787,414,0,0,414,0,37,37,0.0,0.0,0.000318,0.000207,0.000111,1
23,2,1.1989738941192627,1.1912589073181152,417,0,0,417,0,37,37,0.0,0.0,0.0003195,0.0002085,0.000111,1
24,2,1.0726158618927002,1.0076510906219482,438,0,0,438,0,39,39,0.0,0.0,0.000336,0.000219,0.000117,2
25,2,1.1138277053833008,1.0186669826507568,393,0,0,393,0,37,37,0.0,0.0,0.0003075,0.0001965,0.000111,2
26,2,1.2204830646514893,1.126173973083496,407,0,0,407,0,37,37,0.0,0.0,0.0003145,0.0002035,0.000111,1
27,2,1.347377061843872,1.2407300472259521,387,0,0,387,0,37,37,0.0,0.0,0.0003045,0.0001935,0.000111,2
28,2,1.1507999897003174,1.1341428756713867,403,0,0,403,0,37,37,0.0,0.0,0.0003125,0.0002015,0.000111,1
29,2,1.2342982292175293,1.121872901916504,360,0,0,360,0,36,36,0.0,0.0,0.000288,0.00018,0.000108,1
30,2,1.0883820056915283,0.9869906902313232,415,0,0,415,0,37,37,0.0,0.0,0.0003185,0.0002075,0.000111,1
31,2,1.1136858463287354,0.9932479858398438,344,0,0,344,0,37,37,0.0,0.0,0.000283,0.000172,0.000111,0
32,2,1.063018798828125,0.9704020023345947,381,0,0,381,0,36,36,0.0,0.0,0.0002985,0.0001905,0.000108,2
33,2,1.0262649059295654,0.9686000347137451,407,0,0,407,0,37,37,0.0,0.0,0.0003145,0.0002035,0.000111,1
34,2,1.184662103652954,1.1550931930541992,385,0,0,385,0,37,37,0.0,0.0,0.0003035,0.0001925,0.000111,2
35,2,1.2131781578063965,1.1968269348144531,381,0,0,381,0,36,36,0.0,0.0,0.0002985,0.0001905,0.000108,2
36,2,1.1638538837432861,1.0738592147827148,389,0,0,389,0,36,36,0.0,0.0,0.0003025,0.0001945,0.000108,1
37,2,1.0529770851135254,1.0497510433197021,375,0,0,375,0,39,39,0.0,0.0,0.0003045,0.0001875,0.000117,2
38,2,1.1571147441864014,1.044816255569458,413,0,0,413,0,39,39,0.0,0.0,0.0003235,0.0002065,0.000117,2
39,2,0.9654481410980225,0.8885130882263184,369,0,0,369,0,37,37,0.0,0.0,0.0002955,0.0001845,0.000111,0
40,2,1.1752269268035889,1.1220290660858154,393,0,0,393,0,37,37,0.0,0.0,0.0003075,0.0001965,0.000111,1
41,2,1.088271141052246,1.0672969818115234,400,0,0,400,0,37,37,0.0,0.0,0.000311,0.0002,0.000111,1
42,2,1.1950531005859375,1.0867919921875,435,0,0,435,0,37,37,0.0,0.0,0.0003285,0.0002175,0.000111,0
43,2,1.653968095779419,1.5398070812225342,416,0,0,416,0,36,36,0.0,0.0,0.000316,0.000208,0.000108,2
44,2,1.057858943939209,0.9916439056396484,438,0,0,438,0,37,37,0.0,0.0,0.00033,0.000219,0.000111,1
45,2,1.1113018989562988,1.061736822128296,430,0,0,430,0,39,39,0.0,0.0,0.000332,0.000215,0.000117,0
46,2,1.1330130100250244,1.0545358657836914,361,0,0,361,0,36,36,0.0,0.0,0.0002885,0.0001805,0.000108,1
47,2,1.1795220375061035,1.0621590614318848,399,0,0,399,0,37,37,0.0,0.0,0.0003105,0.0001995,0.000111,1
48,2,1.303415060043335,1.2879369258880615,379,0,0,379,0,36,36,0.0,0.0,0.0002975,0.0001895,0.000108,0
49,2,1.340813159942627,1.2093329429626465,414,0,0,414,0,39,39,0.0,0.0,0.000324,0.000207,0.000117,1
50,2,1.0694336891174316,0.9817409515380859,363,0,0,363,0,36,36,0.0,0.0,0.0002895,0.0001815,0.000108,2
