batch_number,num_reviews_in_batch,latency_secs,ttft_secs,input_text_tokens,total_cache_read_tokens,cache_creation_tokens,total_prompt_tokens,reasoning_tokens,output_text_tokens,total_completion_tokens,cache_read_cost,uncached_input_cost,total_cost,total_prompt_cost,total_completion_cost,num_positive
1,10,1.6935458183288574,1.0180468559265137,797,0,0,797,0,176,176,0.0,0.0,0.0009265,0.0003985,0.000528,5
2,10,2.045619010925293,1.3726670742034912,710,0,0,710,0,171,171,0.0,0.0,0.000868,0.000355,0.000513,6
3,10,1.8319141864776611,1.19838285446167,787,0,0,787,0,174,174,0.0,0.0,0.0009155,0.0003935,0.000522,5
4,10,1.9861550331115723,1.306147813796997,790,0,0,790,0,173,173,0.0,0.0,0.000914,0.000395,0.000519,6
5,10,1.7994599342346191,1.15582275390625,901,0,0,901,0,175,175,0.0,0.0,0.0009755,0.0004505,0.000525,8
6,10,1.696645975112915,1.024533987045288,800,0,0,800,0,172,172,0.0,0.0,0.000916,0.0004,0.000516,6
7,10,1.7450590133666992,1.0321619510650635,725,0,0,725,0,171,171,0.0,0.0,0.0008755,0.0003625,0.000513,7
8,10,1.925224781036377,1.2322418689727783,771,0,0,771,0,176,176,0.0,0.0,0.0009135,0.0003855,0.000528,6
9,10,1.7179887294769287,1.1415386199951172,942,0,0,942,0,174,174,0.0,0.0,0.000993,0.000471,0.000522,4
10,10,1.5426392555236816,0.9255130290985107,737,0,0,737,0,172,172,0.0,0.0,0.0008845,0.0003685,0.000516,5
