batch_number,num_tweets_in_batch,latency_secs,ttft_secs,input_text_tokens,total_cache_read_tokens,cache_creation_tokens,total_prompt_tokens,reasoning_tokens,output_text_tokens,total_completion_tokens,cache_read_cost,uncached_input_cost,total_cost,total_prompt_cost,total_completion_cost,num_irony
1,10,1.6056911945343018,0.9440217018127441,956,0,0,956,0,173,173,0.0,0.0,0.001821,0.000956,0.000865,6
2,10,1.649608850479126,1.0082287788391113,996,0,0,996,0,172,172,0.0,0.0,0.001856,0.000996,0.00086,5
3,10,2.355548858642578,1.6897673606872559,841,0,0,841,0,175,175,0.0,0.0,0.001716,0.000841,0.000875,6
4,10,1.8770368099212646,1.274113655090332,933,0,0,933,0,173,173,0.0,0.0,0.001798,0.000933,0.000865,4
5,10,1.7942607402801514,1.7127180099487305,932,0,0,932,0,175,175,0.0,0.0,0.001807,0.000932,0.000875,3
6,10,1.9544873237609863,1.277831792831421,895,0,0,895,0,175,175,0.0,0.0,0.00177,0.000895,0.000875,3
7,10,1.8691234588623047,1.2484042644500732,889,0,0,889,0,172,172,0.0,0.0,0.001749,0.000889,0.00086,7
8,10,2.376079559326172,1.7329885959625244,903,0,0,903,0,175,175,0.0,0.0,0.001778,0.000903,0.000875,5
9,10,1.6603858470916748,1.0181009769439697,871,0,0,871,0,176,176,0.0,0.0,0.001751,0.000871,0.00088,3
10,10,1.9721970558166504,1.3389191627502441,956,0,0,956,0,174,174,0.0,0.0,0.001826,0.000956,0.00087,3
